reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c,-238.303449505,-272.533124575,Not calculated,Not calculated
atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-14.4
enter_e + fe3_e --> feenter_e,10.1214863007,27.2363238354,Not calculated,Not calculated
atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c,-26.3975151234,-43.5123526581,0.1,-7.5
4.0 fe2_p + 4.0 h_p + o2_p --> 4.0 fe3_p + 2.0 h2o_p,-46.9045860136,-22.6035858382,-9.3,-3.5
h2o_c + suc6p_c --> fru_c + g6p_c,-30.9453109173,-48.060148452,-3.3,-7.4
for_c + h_c --> co2_c + h2_c,20.4721232034,-5.02054758173,5.1,-0.9
h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c,10.5670552736,10.5670552736,-6,-6
h_c + nadh_c + ribflv_c --> nad_c + rbflvrd_c,11.5465340165,11.5465340165,-5.8,-5.8
atp_c + fmn_c + h_c --> fad_c + ppi_c,-11.2562224928,-11.2562224928,0.4,0.4
fmn_c + h_c + nadh_c --> fmnh2_c + nad_c,-21.6815287555,-21.6815287555,-4,-4
fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c,-22.6610074984,-22.6610074984,-4.3,-4.3
fru_p + pep_c --> f6p_c + pyr_c,-42.3233603743,-42.3233603743,-9.1,-9.1
10fthf_c + h2o_c --> for_c + h_c + thf_c,-21.5529434417,-38.6677809764,-6.1,-10.2
fum_c + h2o_c <=> mal__L_c,-3.44994936146,-3.44994936146,-0.6,-0.6
accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,-25.1897735057,-25.1897735057,-5.2,-5.2
g1p_p + h2o_p --> glc__D_p + pi_p,-16.5473741244,-33.6622116591,-2.8,-6.9
dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,-2.01933349116,-2.01933349116,0.4,0.4
glu1sa_c <=> 5aop_c,-7.50900525272,-7.50900525272,-1.4,-1.4
glyc2p_p + h2o_p --> glyc_p + pi_p,-23.4130244984,-40.5278620331,-2.8,-6.9
atp_c + g3pc_p + h2o_c --> adp_c + g3pc_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c,27.3895088721,27.3895088721,4.2,4.2
atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
glyc3p_c + h2o_c --> glyc_c + pi_c,-10.8341515302,-27.948989065,-2.8,-6.9
glu5sa_c --> 1pyr5c_c + h2o_c + h_c,11.4301404769,11.4301404769,-14.8,-14.8
glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,-10.1201983997,-27.2350359345,-0.2,-4.3
g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c,-2.32093436429,-2.32093436429,-1.6,-1.6
g6p_c + h2o_c --> glc__D_c + pi_c,-9.12528019746,-26.2401177322,-2.8,-6.9
gal1p_p + h2o_p --> gal_p + pi_p,-15.4249717926,-32.5398093273,-2.8,-6.9
galct__D_c --> 5dh4dglc_c + h2o_c,-41.9072560674,-41.9072560674,-8.3,-8.3
galctn__L_c + nad_c --> h_c + nadh_c + tagur_c,14.4843767474,14.4843767474,2.2,2.2
galctn__D_c --> 2dh3dgal_c + h2o_c,-41.9071334606,-41.9071334606,-8.3,-8.3
atp_c + gal_c <=> adp_c + gal1p_c + h_c,-10.9725433308,-10.9725433308,-3.8,-3.8
gal_bD_p --> gal_p,6.25226245909,6.25226245909,0,0
h2o_c + melib_c --> gal_c + glc__D_c,-10.7236044197,-27.8384419544,-3.3,-7.4
galt_p + pep_c --> galt1p_c + pyr_c,-40.3257943294,-40.3257943294,-9.1,-9.1
g1p_c + h_c + utp_c --> ppi_c + udpg_c,0.0488150878908,0.0488150878908,0.4,0.4
atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
gam_p + pep_c --> gam6p_c + pyr_c,-36.8478575214,-36.8478575214,-9.1,-9.1
g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,7.78430392845,24.8991414632,-0.1,4
10fthf_c + gar_c <=> fgam_c + h_c + thf_c,5.1657407573,5.1657407573,-7.2,-7.2
atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,0.321169075625,0.321169075625,-7.6,-7.6
gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c,-58.765752909,-58.765752909,-9.4,-9.4
atp_c + gdp_c --> amp_c + h_c + ppgpp_c,-5.38779251864,-5.38779251864,-3.5,-3.5
gdpmann_c + h2o_c --> gdp_c + h_c + man_c,-18.2343298776,-35.3491674123,-4.7,-8.8
gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c,-27.2879907607,-44.4028282954,-8.4,-12.5
f6p_c + gln__L_c --> gam6p_c + glu__L_c,-13.664314385,-13.664314385,-6.7,-6.7
ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c,-35.7924552736,-35.7924552736,-9.2,-9.2
gg4abut_c + h2o_c --> 4abut_c + glu__L_c,-16.2279418956,-33.3427794303,-0.3,-4.4
atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c,-20.7965514819,-20.7965514819,-6.2,-6.2
ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,-6.52257389433,-6.52257389433,0.1,0.1
atp_c + gmp_c <=> adp_c + gdp_c,-3.41493756931,-3.41493756931,-0.1,-0.1
accoa_c + glc__D_c <=> acglc__D_c + coa_c,-1.49922494335,-1.49922494335,-3.7,-3.7
5dh4dglc_c --> 2h3oppan_c + pyr_c,21.8005703812,4.68573284645,0.7,-3.4
glcr_c --> 5dh4dglc_c + h2o_c,-41.9072560674,-41.9072560674,-8.3,-8.3
atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
glc__D_p + pep_c --> g6p_c + pyr_c,-44.9455776959,-44.9455776959,-9.1,-9.1
atp_c + g1p_c + h_c --> adpglc_c + ppi_c,-7.91006585184,-7.91006585184,0.4,0.4
atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c,14.2310493948,14.2310493948,2.2,2.2
atp_c + glu__L_c --> adp_c + glu5p_c,26.4731543128,26.4731543128,2.7,2.7
atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,-31.1672146385,-31.1672146385,-6.2,-6.2
glu__L_c + h_c --> 4abut_c + co2_c,-24.9681109364,-42.0829484711,-3.3,-7.4
gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,-54.4717754606,-71.5866129953,-11.7,-15.8
glu__D_c <=> glu__L_c,-0.618360700962,-0.618360700962,0,0
akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,-50.3293452761,-50.3293452761,-14.2,-14.2
atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
2.0 glx_c + h_c --> 2h3oppan_c + co2_c,-19.6354336408,-19.6354336408,-10.8,-10.8
accoa_c + gly_c <=> 2aobut_c + coa_c,38.5719217942,38.5719217942,5.5,5.5
atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
glyc_c + nad_c --> dha_c + h_c + nadh_c,24.5786230531,24.5786230531,3.9,3.9
atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,-10.9652388289,-10.9652388289,-3.8,-3.8
atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,-6.7412974505,-6.7412974505,-3.8,-3.8
glx_c + h_c + nadh_c --> glyclt_c + nad_c,-44.5927004756,-44.5927004756,-7.9,-7.9
glx_c + h_c + nadph_c --> glyclt_c + nadp_c,-45.5721792185,-45.5721792185,-8.1,-8.1
atp_c + glyc_c --> adp_c + glyc3p_c + h_c,-15.5633635931,-15.5633635931,-3.8,-3.8
h2o_c + mthgxl_c --> h_c + lac__D_c,-53.4726177604,-53.4726177604,-15.8,-15.8
gdpmann_c --> gdpddman_c + h2o_c,-51.3092938688,-51.3092938688,-13.8,-13.8
atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,-10.5332593885,-10.5332593885,0.4,0.4
6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,11.1697932518,-5.94504428289,0.9,-3.2
atp_c + glcn_c --> 6pgc_c + adp_c + h_c,-10.1192825754,-10.1192825754,-3.8,-3.8
gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c,-7.3045713927,-7.3045713927,-2.9,-2.9
gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c,-47.0600199065,-64.1748574412,-8.4,-12.5
grdp_c + ipdp_c --> frdp_c + ppi_c,-72.9051027202,-72.9051027202,-13.3,-13.3
atp_c + gsn_c --> adp_c + gmp_c + h_c,-20.5311928485,-20.5311928485,-3.8,-3.8
gtp_c + h2o_c --> ahdt_c + for_c + h_c,-92.4232562566,-109.538093791,-17,-21.1
gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c,-62.9344921994,-97.1641672688,-7.2,-15.4
gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,-23.8563101891,-40.9711477239,-6.6,-10.7
atp_c + gtp_c --> amp_c + gdptp_c + h_c,-5.45719632617,-5.45719632617,-3.8,-3.8
gua_c + prpp_c --> gmp_c + ppi_c,-28.5574849117,-28.5574849117,-3.2,-3.2
glcur_c <=> fruur_c,0.553738230562,0.553738230562,-0.8,-0.8
glcur1p_p + h2o_p --> glcur_p + pi_p,-16.4775198392,-33.5923573739,-2.8,-6.9
h2s_c + 2.0 o2_c --> 2.0 h_c + so4_c,-832.046466529,-783.444466178,-197.5,-186
3hbcoa_c + nad_c --> aacoa_c + h_c + nadh_c,18.0072051335,18.0072051335,3.9,3.9
3hhcoa_c + nad_c --> 3ohcoa_c + h_c + nadh_c,24.6569052636,24.6569052636,3.9,3.9
3hocoa_c + nad_c --> 3oocoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
3hdcoa_c + nad_c --> 3odcoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
3hddcoa_c + nad_c --> 3oddcoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
3htdcoa_c + nad_c --> 3otdcoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
3hhdcoa_c + nad_c --> 3ohdcoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
3hodcoa_c + nad_c --> 3ohodcoa_c + h_c + nadh_c,20.6058878018,20.6058878018,3.9,3.9
4hbz_c + octdp_c --> 3ophb_c + ppi_c,-75.9055821969,-75.9055821969,-17.4,-17.4
co2_c + h2o_c <=> h_c + hco3_c,-4.90765168666,-4.90765168666,-0.6,-0.6
4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,-17.2291902289,-17.2291902289,-3.8,-3.8
atp_c + glc__D_c --> adp_c + g6p_c + h_c,-17.2722349259,-17.2722349259,-3.8,-3.8
atp_c + man_c --> adp_c + h_c + man6p_c,-16.7944931725,-16.7944931725,-3.8,-3.8
atp_c + fru_c --> adp_c + f6p_c + h_c,-14.6500176043,-14.6500176043,-3.8,-3.8
atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c,-26.3975151234,-43.5123526581,-6.6,-3.7
h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,-6.49315124889,-6.49315124889,-17.5,-17.5
h2o_c + hisp_c --> histd_c + pi_c,-16.7905661786,-33.9054037133,10.7,6.6
atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
h2o_c + hkndd_c --> h_c + op4en_c + succ_c,-52.4472014225,-69.5620389572,-12,-16.1
h2o_c + hkntd_c --> fum_c + h_c + op4en_c,-52.5427944856,-69.6576320203,-12,-16.1
4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,-11.9997517401,-11.9997517401,-3.8,-3.8
4h2opntn_c --> acald_c + pyr_c,10.2267380459,-6.88809948879,1.3,-2.8
6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,-9.25138722852,-9.25138722852,-3.8,-3.8
dhpppn_c + o2_c --> h_c + hkndd_c,-257.142159127,-232.841158952,-72.5,-66.8
hpyr_c <=> 2h3oppan_c,1.40734401662,1.40734401662,-1.1,-1.1
h_c + hpyr_c + nadh_c --> glyc__R_c + nad_c,-31.8602993564,-31.8602993564,-6.4,-6.4
h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c,-32.8397780993,-32.8397780993,-6.7,-6.7
hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,23.9128675915,23.9128675915,5.6,5.6
atp_c + hom__L_c --> adp_c + h_c + phom_c,-31.0712699335,-31.0712699335,-3.8,-3.8
hom__L_c + succoa_c --> coa_c + suchms_c,-24.1544003072,-24.1544003072,-3.7,-3.7
glu__L_c + imacp_c --> akg_c + hisp_c,7.61776170554,7.61776170554,2.5,2.5
h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c,17.2964574128,17.2964574128,2.7,2.7
accoa_c + hxa_c --> ac_c + hxcoa_c,-4.98590300426,-4.98590300426,-1.5,-1.5
hxan_c + prpp_c --> imp_c + ppi_c,-26.7259327117,-26.7259327117,-3.1,-3.1
h2o_c + pyam5p_c --> pi_c + pydam_c,-13.7188557305,-30.8336932652,-2.8,-6.9
icit_c + nadp_c <=> akg_c + co2_c + nadph_c,6.38522685615,-10.7296106786,3.4,-0.7
h2o_c + ichor_c --> 23ddhb_c + pyr_c,-43.9280411936,-61.0428787283,-12.4,-16.5
icit_c --> glx_c + succ_c,8.63144406118,-8.48339347354,4.9,0.8
5dglcn_c + h_c + nadh_c <=> idon__L_c + nad_c,-20.6390520553,-20.6390520553,-3.9,-3.9
5dglcn_c + h_c + nadph_c --> idon__L_c + nadp_c,-21.6185307981,-21.6185307981,-4.2,-4.2
eig3p_c --> h2o_c + imacp_c,-41.6929032736,-41.6929032736,-10.8,-10.8
2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,-86.0667090637,-103.181546598,-15.4,-19.5
akg_c + ile__L_c <=> 3mop_c + glu__L_c,-4.69543288092,-4.69543288092,0,0
atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
h2o_c + imp_c <=> fprica_c,18.3317289477,18.3317289477,-2.8,-2.8
h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,22.1021784071,22.1021784071,2.7,2.7
h2o_c + ins_c --> hxan_c + rib__D_c,-3.91718707212,-21.0320246068,-1,-5.1
atp_c + ins_c --> adp_c + h_c + imp_c,-20.8274471529,-20.8274471529,-3.8,-3.8
ipdp_c <=> dmpp_c,-4.90255930891,-4.90255930891,0.8,0.8
h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,-61.4950223691,-61.4950223691,-17.3,-17.3
3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,20.6725943837,20.6725943837,6.4,6.4
3c2hmp_c <=> 2ippm_c + h2o_c,-3.19324037593,-3.19324037593,0.2,0.2
2ippm_c + h2o_c <=> 3c3hmp_c,-3.20109552239,-3.20109552239,-0.2,-0.2
3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,-25.3200645141,-25.3200645141,-7.3,-7.3
atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
atp_c + h2o_c + kdo2lipid4_c --> adp_c + h_c + kdo2lipid4_p + pi_c,-26.3975151234,-43.5123526581,-6.6,-24.6
23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,21.6232055559,21.6232055559,4.2,4.2
2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,-21.6233489845,-21.6233489845,-4.2,-4.2
aacoa_c + coa_c --> 2.0 accoa_c,-26.1380387733,-26.1380387733,-7.1,-7.1
3ohcoa_c + coa_c --> accoa_c + btcoa_c,-35.2654534512,-35.2654534512,-7.1,-7.1
3oocoa_c + coa_c --> accoa_c + hxcoa_c,-32.7046116298,-32.7046116298,-7.1,-7.1
3odcoa_c + coa_c --> accoa_c + occoa_c,-32.6954456908,-32.6954456908,-7.1,-7.1
3oddcoa_c + coa_c --> accoa_c + dcacoa_c,-32.6954456908,-32.6954456908,-7.1,-7.1
3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,-32.6954456908,-32.6954456908,-7.1,-7.1
3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,-32.6954456908,-32.6954456908,-7.1,-7.1
h2o_c + kdo8p_c --> kdo_c + pi_c,-11.743278605,-28.8581161397,-0.1,-4.2
ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,-64.0801356892,-64.0801356892,-15.3,-15.3
3dhgulnp_c + h_c --> co2_c + xu5p__L_c,-12.6659495453,-29.78078708,-3.3,-7.4
atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-14.2
h2o_c + lcts_c --> gal_c + glc__D_c,-10.8868316757,-28.0016692104,-3.3,-7.4
h2o_p + lcts_p --> gal_p + glc__D_p,-10.8868316757,-28.0016692104,-3.3,-7.4
h_c + mthgxl_c + nadh_c --> lald__D_c + nad_c,-17.9689787789,-17.9689787789,-6.4,-6.4
h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,-45.8391676663,-45.8391676663,-9.4,-9.4
h_c + lald__D_c + nadh_c <=> 12ppd__R_c + nad_c,-23.1205041743,-23.1205041743,-5.4,-5.4
h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,-30.3874711197,-30.3874711197,-5.4,-5.4
lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,24.4141858415,24.4141858415,6.4,6.4
4mop_c + glu__L_c --> akg_c + leu__L_c,1.18095485071,1.18095485071,0,0
atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c,-26.3975151234,-43.5123526581,-6.6,-24.6
nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,22.6023136434,22.6023136434,5.8,5.8
h_c + lys__L_c --> 15dap_c + co2_c,-25.2838848476,-42.3987223823,-3.3,-7.4
atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-14.2
lyx__L_c --> xylu__L_c,12.7516691666,12.7516691666,-0.8,-0.8
mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,11.2582960311,11.2582960311,2.2,2.2
mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,22.2632541182,5.14841658344,1.3,-2.8
accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,-32.6972782719,-32.6972782719,-8.7,-8.7
accoa_c + malt_c <=> acmalt_c + coa_c,-2.66717629244,-2.66717629244,-3.7,-3.7
atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + maltpt_p --> adp_c + h_c + maltpt_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + malttr_p --> adp_c + h_c + malttr_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + maltttr_p --> adp_c + h_c + maltttr_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
malt_p + pep_c --> malt6p_c + pyr_c,-40.3354079858,-40.3354079858,-9.1,-9.1
gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,4.30541320664,4.30541320664,1.9,1.9
man6p_c <=> f6p_c,-0.661368066422,-0.661368066422,-0.8,-0.8
mana_c + nad_c <=> fruur_c + h_c + nadh_c,14.0643149136,14.0643149136,2.2,2.2
manglyc_p + pep_c --> man6pglyc_c + pyr_c,-42.2762668601,-42.2762668601,-9.1,-9.1
h2o_c + man6pglyc_c --> glyc__R_c + man6p_c,-10.4878438117,-27.6026813464,-3.3,-7.4
man_p + pep_c --> man6p_c + pyr_c,-44.4678359425,-44.4678359425,-9.1,-9.1
2mcit_c --> 2mcacn_c + h2o_c,-0.765266695335,-0.765266695335,1.1,1.1
micit_c <=> pyr_c + succ_c,9.34687746016,-7.76796007456,4.8,0.7
h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,-39.1776225369,-39.1776225369,-10.4,-10.4
mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,30.3392277864,30.3392277864,6.4,6.4
mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,13.0107776687,-4.10405986603,1.3,-2.8
mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,13.9902564115,-3.12458112318,1.6,-2.5
2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,-4.72971318004,-4.72971318004,0.2,0.2
atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,-10.0937711468,-10.0937711468,-6.6,-6.6
atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + met__L_p --> adp_c + h_c + met__L_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-10.7
atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-17.6
dhap_c --> mthgxl_c + pi_c,-56.4654617455,-73.5802992802,-11.4,-15.5
h2o_c + mi1p__D_c --> inost_c + pi_c,-20.691719382,-37.8065569167,-2.8,-6.9
h2o_c + malttr_c --> glc__D_c + malt_c,-12.911063971,-30.0259015057,-3.3,-7.4
h2o_c + maltttr_c --> glc__D_c + malttr_c,-13.3876196574,-30.5024571921,-3.3,-7.4
h2o_c + maltpt_c --> glc__D_c + maltttr_c,-13.3876248002,-30.5024623349,-3.3,-7.4
h2o_c + malthx_c --> glc__D_c + maltpt_c,-13.387624218,-30.5024617527,-3.3,-7.4
h2o_c + malthp_c --> glc__D_c + malthx_c,-13.3876236083,-30.502461143,-3.3,-7.4
maltpt_c + pi_c <=> g1p_c + maltttr_c,3.1597493242,3.1597493242,-0.5,-0.5
malthx_c + pi_c <=> g1p_c + maltpt_c,3.15974990638,3.15974990638,-0.5,-0.5
malthp_c + pi_c <=> g1p_c + malthx_c,3.15975051613,3.15975051613,-0.5,-0.5
h_c + mmcoa__S_c --> co2_c + ppcoa_c,-19.6104527484,-36.7252902831,-3.3,-7.4
mmcoa__R_c <=> mmcoa__S_c,0.000732631037863,0.000732631037863,0,0
succoa_c --> mmcoa__R_c,7.57212835998,7.57212835998,-1.8,-1.8
h2o_c + man6p_c --> man_c + pi_c,-9.60302195085,-26.7178594856,-2.8,-6.9
mnl_p + pep_c --> mnl1p_c + pyr_c,-43.1508386224,-43.1508386224,-9.1,-9.1
mana_c --> 2ddglcn_c + h2o_c,-37.4292553432,-37.4292553432,-10.7,-10.7
atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,-26.3975151234,-43.5123526581,0.1,2.9
3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,5.45032483332,5.45032483332,-1.4,-1.4
atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-7.2
5mta_c + h2o_c --> 5mtr_c + ade_c,-11.7202446031,-28.8350821378,-0.8,-4.9
h2o_c + methf_c <=> 10fthf_c + h_c,-5.00068437045,-5.00068437045,-0.2,-0.2
mlthf_c + nadp_c <=> methf_c + nadph_c,9.89829208911,9.89829208911,2.3,2.3
2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,-37.9098756458,-37.9098756458,-3.8,-3.8
5mdr1p_c <=> 5mdru1p_c,-7.16148518863,-7.16148518863,0.5,0.5
5mtr_c + atp_c --> 5mdr1p_c + adp_c + h_c,-3.32281895169,-3.32281895169,-3.8,-3.8
acg5sa_c + h2o_c --> ac_c + glu5sa_c,-8.34344890446,-25.4582864392,-1.9,-6
h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,-36.0099708514,-53.1248083861,-8.4,-12.5
atp_c + nad_c --> adp_c + h_c + nadp_c,-11.8312818378,-11.8312818378,-3.8,-3.8
h2o_c + nad_c --> adprib_c + h_c + ncam_c,-34.9485122701,-52.0633498048,-4.3,-8.4
h2o_c + nadp_c --> nad_c + pi_c,-14.5662332856,-31.6810708203,-2.8,-6.9
nad_c + nadph_c --> nadh_c + nadp_c,-0.979478742844,-0.979478742844,-0.3,-0.3
atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,-28.4666167327,-45.5814542675,-6.4,-10.5
atp_c + gdp_c <=> adp_c + gtp_c,-2.4718011267,-2.4718011267,0.3,0.3
atp_c + udp_c <=> adp_c + utp_c,-2.3467195523,-2.3467195523,0,0
atp_c + cdp_c <=> adp_c + ctp_c,-0.465100024193,-0.465100024193,0.3,0.3
atp_c + dtdp_c <=> adp_c + dttp_c,2.85660858952,2.85660858952,0,0
atp_c + dgdp_c <=> adp_c + dgtp_c,2.76641799755,2.76641799755,0.3,0.3
atp_c + dudp_c <=> adp_c + dutp_c,1.79241088641,1.79241088641,0,0
atp_c + dcdp_c <=> adp_c + dctp_c,4.33556768915,4.33556768915,0,0
atp_c + dadp_c <=> adp_c + datp_c,3.12603492426,3.12603492426,0,0
h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,-290.566428931,-273.451591397,-25.1,-21
atp_c + h2o_c + ni2_c --> adp_c + h_c + ni2_p + pi_c,-26.3975151234,-43.5123526581,-6.6,-3.7
atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c,-26.3975151234,-43.5123526581,-6.6,-17.6
atp_c + h_c + nmn_c --> nad_c + ppi_c,1.55542799802,1.55542799802,0.4,0.4
h2o_c + nmn_c --> h_c + ncam_c + r5p_c,-22.8698661275,-39.9847036622,-4.3,-8.4
h2o_c + nmn_p --> h_c + ncam_c + r5p_c,-22.8698661275,-39.9847036622,-4.3,-8.4
atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,-21.6222109974,-21.6222109974,0.4,0.4
dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,-21.5178892312,-21.5178892312,-3.4,-3.4
