reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
2.0 feenter_c + rbflvrd_c --> 2.0 enter_c + 2.0 fe2_c + 2.0 h_c + ribflv_c,-234.381614092,-268.611289161,Not calculated,Not calculated
atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-14.4
enter_e + fe3_e --> feenter_e,4.61277739148,21.7276149262,Not calculated,Not calculated
atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c,-28.7657317899,-45.8805693246,0.1,-7.5
4.0 fe2_p + 4.0 h_p + o2_p --> 4.0 fe3_p + 2.0 h2o_p,-32.5473690547,-8.2463688793,-9.3,-3.5
h2o_c + suc6p_c --> fru_c + g6p_c,-30.9450016848,-48.0598392195,-3.3,-7.4
for_c + h_c --> co2_c + h2_c,20.3890508186,-5.10361996655,5.1,-0.9
h_c + nadph_c + ribflv_c --> nadp_c + rbflvrd_c,6.74208946436,6.74208946436,-6,-6
h_c + nadh_c + ribflv_c --> nad_c + rbflvrd_c,10.1621250652,10.1621250652,-5.8,-5.8
atp_c + fmn_c + h_c --> fad_c + ppi_c,-10.2450559715,-10.2450559715,0.4,0.4
fmn_c + h_c + nadh_c --> fmnh2_c + nad_c,-22.9826003477,-22.9826003477,-4,-4
fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c,-26.4026359485,-26.4026359485,-4.3,-4.3
fru_p + pep_c --> f6p_c + pyr_c,-44.7725948187,-44.7725948187,-9.1,-9.1
10fthf_c + h2o_c --> for_c + h_c + thf_c,-21.4568653236,-38.5717028584,-6.1,-10.2
fum_c + h2o_c <=> mal__L_c,-3.45689269771,-3.45689269771,-0.6,-0.6
accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,-24.0620784845,-24.0620784845,-5.2,-5.2
g1p_p + h2o_p --> glc__D_p + pi_p,-16.8448006277,-33.9596381624,-2.8,-6.9
dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,-4.96791458822,-4.96791458822,0.4,0.4
glu1sa_c <=> 5aop_c,-7.5027706583,-7.5027706583,-1.4,-1.4
glyc2p_p + h2o_p --> glyc_p + pi_p,-23.7203621481,-40.8351996828,-2.8,-6.9
atp_c + g3pc_p + h2o_c --> adp_c + g3pc_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c,31.2189585383,31.2189585383,4.2,4.2
atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
glyc3p_c + h2o_c --> glyc_c + pi_c,-11.0440354086,-28.1588729433,-2.8,-6.9
glu5sa_c --> 1pyr5c_c + h2o_c + h_c,11.5066186034,11.5066186034,-14.8,-14.8
glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,-14.139663199,-31.2545007337,-0.2,-4.3
g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c,1.40170253229,1.40170253229,-1.6,-1.6
g6p_c + h2o_c --> glc__D_c + pi_c,-9.41655134758,-26.5313888823,-2.8,-6.9
gal1p_p + h2o_p --> gal_p + pi_p,-15.7223982959,-32.8372358306,-2.8,-6.9
galct__D_c --> 5dh4dglc_c + h2o_c,-41.9071873952,-41.9071873952,-8.3,-8.3
galctn__L_c + nad_c --> h_c + nadh_c + tagur_c,15.7871548156,15.7871548156,2.2,2.2
galctn__D_c --> 2dh3dgal_c + h2o_c,-41.9071304326,-41.9071304326,-8.3,-8.3
atp_c + gal_c <=> adp_c + gal1p_c + h_c,-13.0433334939,-13.0433334939,-3.8,-3.8
gal_bD_p --> gal_p,6.25226245909,6.25226245909,0,0
h2o_c + melib_c --> gal_c + glc__D_c,-10.7235985224,-27.8384360572,-3.3,-7.4
galt_p + pep_c --> galt1p_c + pyr_c,-42.8558846364,-42.8558846364,-9.1,-9.1
g1p_c + h_c + utp_c --> ppi_c + udpg_c,-2.93584053038,-2.93584053038,0.4,0.4
atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
gam_p + pep_c --> gam6p_c + pyr_c,-41.4418429275,-41.4418429275,-9.1,-9.1
g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,14.0367045959,31.1515421306,-0.1,4
10fthf_c + gar_c <=> fgam_c + h_c + thf_c,6.3629415208,6.3629415208,-7.2,-7.2
atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c,-0.945924945426,-0.945924945426,-7.6,-7.6
gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c,-57.3812191482,-57.3812191482,-9.4,-9.4
atp_c + gdp_c --> amp_c + h_c + ppgpp_c,8.94711730062,8.94711730062,-3.5,-3.5
gdpmann_c + h2o_c --> gdp_c + h_c + man_c,-16.992796297,-34.1076338318,-4.7,-8.8
gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c,-26.0974236741,-43.2122612088,-8.4,-12.5
f6p_c + gln__L_c --> gam6p_c + glu__L_c,-14.6569708193,-14.6569708193,-6.7,-6.7
ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c,-32.1784933206,-32.1784933206,-9.2,-9.2
gg4abut_c + h2o_c --> 4abut_c + glu__L_c,-16.2124095309,-33.3272470656,-0.3,-4.4
atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c,-24.7581554778,-24.7581554778,-6.2,-6.2
ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,-6.42146819948,-6.42146819948,0.1,0.1
atp_c + gmp_c <=> adp_c + gdp_c,-5.43476123859,-5.43476123859,-0.1,-0.1
accoa_c + glc__D_c <=> acglc__D_c + coa_c,-1.51431918653,-1.51431918653,-3.7,-3.7
5dh4dglc_c --> 2h3oppan_c + pyr_c,20.5765446376,3.46170710288,0.7,-3.4
glcr_c --> 5dh4dglc_c + h2o_c,-41.9071873952,-41.9071873952,-8.3,-8.3
atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
glc__D_p + pep_c --> g6p_c + pyr_c,-47.3979243079,-47.3979243079,-9.1,-9.1
atp_c + g1p_c + h_c --> adpglc_c + ppi_c,-9.50797641552,-9.50797641552,0.4,0.4
atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c,15.6133580853,15.6133580853,2.2,2.2
atp_c + glu__L_c --> adp_c + glu5p_c,24.2926162192,24.2926162192,2.7,2.7
atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,-33.5372295877,-33.5372295877,-6.2,-6.2
glu__L_c + h_c --> 4abut_c + co2_c,-25.0558298567,-42.1706673914,-3.3,-7.4
gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,-60.2779350888,-77.3927726235,-11.7,-15.8
glu__D_c <=> glu__L_c,-0.618360700962,-0.618360700962,0,0
akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,-55.2799365521,-55.2799365521,-14.2,-14.2
atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
2.0 glx_c + h_c --> 2h3oppan_c + co2_c,-19.7185976268,-19.7185976268,-10.8,-10.8
accoa_c + gly_c <=> 2aobut_c + coa_c,38.5955901656,38.5955901656,5.5,5.5
atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
glyc_c + nad_c --> dha_c + h_c + nadh_c,25.8800059402,25.8800059402,3.9,3.9
atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,-10.7573392059,-10.7573392059,-3.8,-3.8
atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,-6.36155436217,-6.36155436217,-3.8,-3.8
glx_c + h_c + nadh_c --> glyclt_c + nad_c,-45.8940987323,-45.8940987323,-7.9,-7.9
glx_c + h_c + nadph_c --> glyclt_c + nadp_c,-49.3141343331,-49.3141343331,-8.1,-8.1
atp_c + glyc_c --> adp_c + glyc3p_c + h_c,-17.7216963813,-17.7216963813,-3.8,-3.8
h2o_c + mthgxl_c --> h_c + lac__D_c,-53.3894804773,-53.3894804773,-15.8,-15.8
gdpmann_c --> gdpddman_c + h2o_c,-51.3092508111,-51.3092508111,-13.8,-13.8
atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,-12.131172848,-12.131172848,0.4,0.4
6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,12.5530126051,-4.56182492966,0.9,-3.2
atp_c + glcn_c --> 6pgc_c + adp_c + h_c,-9.99113610418,-9.99113610418,-3.8,-3.8
gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c,-11.0465541851,-11.0465541851,-2.9,-2.9
gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c,-49.3226738538,-66.4375113885,-8.4,-12.5
grdp_c + ipdp_c --> frdp_c + ppi_c,-71.2379061893,-71.2379061893,-13.3,-13.3
atp_c + gsn_c --> adp_c + gmp_c + h_c,-22.7814704809,-22.7814704809,-3.8,-3.8
gtp_c + h2o_c --> ahdt_c + for_c + h_c,-92.1943556045,-109.309193139,-17,-21.1
gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c,-63.1141776999,-97.3438527693,-7.2,-15.4
gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,-31.4037339024,-48.5185714371,-6.6,-10.7
atp_c + gtp_c --> amp_c + gdptp_c + h_c,14.0926609029,14.0926609029,-3.8,-3.8
gua_c + prpp_c --> gmp_c + ppi_c,-33.6400634881,-33.6400634881,-3.2,-3.2
glcur_c <=> fruur_c,0.555002506756,0.555002506756,-0.8,-0.8
glcur1p_p + h2o_p --> glcur_p + pi_p,-19.1334426947,-36.2482802294,-2.8,-6.9
h2s_c + 2.0 o2_c --> 2.0 h_c + so4_c,-830.739145718,-782.137145368,-197.5,-186
3hbcoa_c + nad_c --> aacoa_c + h_c + nadh_c,19.3162370322,19.3162370322,3.9,3.9
3hhcoa_c + nad_c --> 3ohcoa_c + h_c + nadh_c,26.1501616415,26.1501616415,3.9,3.9
3hocoa_c + nad_c --> 3oocoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
3hdcoa_c + nad_c --> 3odcoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
3hddcoa_c + nad_c --> 3oddcoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
3htdcoa_c + nad_c --> 3otdcoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
3hhdcoa_c + nad_c --> 3ohdcoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
3hodcoa_c + nad_c --> 3ohodcoa_c + h_c + nadh_c,21.9488480945,21.9488480945,3.9,3.9
4hbz_c + octdp_c --> 3ophb_c + ppi_c,-74.2352206242,-74.2352206242,-17.4,-17.4
co2_c + h2o_c <=> h_c + hco3_c,-4.82930989345,-4.82930989345,-0.6,-0.6
4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,-19.4541612077,-19.4541612077,-3.8,-3.8
atp_c + glc__D_c --> adp_c + g6p_c + h_c,-19.3491804423,-19.3491804423,-3.8,-3.8
atp_c + man_c --> adp_c + h_c + man6p_c,-18.8714386889,-18.8714386889,-3.8,-3.8
atp_c + fru_c --> adp_c + f6p_c + h_c,-16.7238509531,-16.7238509531,-3.8,-3.8
atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c,-28.7657317899,-45.8805693246,-6.6,-3.7
h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,-4.1933925855,-4.1933925855,-17.5,-17.5
h2o_c + hisp_c --> histd_c + pi_c,-15.3275942227,-32.4424317574,10.7,6.6
atp_c + h2o_c + his__L_p --> adp_c + h_c + his__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
h2o_c + hkndd_c --> h_c + op4en_c + succ_c,-52.3938827545,-69.5087202892,-12,-16.1
h2o_c + hkntd_c --> fum_c + h_c + op4en_c,-52.4610888362,-69.5759263709,-12,-16.1
4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,-14.6644809408,-14.6644809408,-3.8,-3.8
4h2opntn_c --> acald_c + pyr_c,10.2267403013,-6.88809723339,1.3,-2.8
6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,-11.4700416286,-11.4700416286,-3.8,-3.8
dhpppn_c + o2_c --> h_c + hkndd_c,-255.85147784,-231.550477664,-72.5,-66.8
hpyr_c <=> 2h3oppan_c,1.40734610981,1.40734610981,-1.1,-1.1
h_c + hpyr_c + nadh_c --> glyc__R_c + nad_c,-33.1616930242,-33.1616930242,-6.4,-6.4
h_c + hpyr_c + nadph_c --> glyc__R_c + nadp_c,-36.581728625,-36.581728625,-6.7,-6.7
hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,27.6552635415,27.6552635415,5.6,5.6
atp_c + hom__L_c --> adp_c + h_c + phom_c,-33.3835013096,-33.3835013096,-3.8,-3.8
hom__L_c + succoa_c --> coa_c + suchms_c,-29.0548096021,-29.0548096021,-3.7,-3.7
glu__L_c + imacp_c --> akg_c + hisp_c,7.98544661855,7.98544661855,2.5,2.5
h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c,18.5990968768,18.5990968768,2.7,2.7
accoa_c + hxa_c --> ac_c + hxcoa_c,-5.16284515046,-5.16284515046,-1.5,-1.5
hxan_c + prpp_c --> imp_c + ppi_c,-31.6205483963,-31.6205483963,-3.1,-3.1
h2o_c + pyam5p_c --> pi_c + pydam_c,-12.0632591359,-29.1780966706,-2.8,-6.9
icit_c + nadp_c <=> akg_c + co2_c + nadph_c,7.62073963535,-9.49409789937,3.4,-0.7
h2o_c + ichor_c --> 23ddhb_c + pyr_c,-45.1512796704,-62.2661172051,-12.4,-16.5
icit_c --> glx_c + succ_c,6.1780107582,-10.9368267765,4.9,0.8
5dglcn_c + h_c + nadh_c <=> idon__L_c + nad_c,-21.9421909478,-21.9421909478,-3.9,-3.9
5dglcn_c + h_c + nadph_c --> idon__L_c + nadp_c,-25.3622265486,-25.3622265486,-4.2,-4.2
eig3p_c --> h2o_c + imacp_c,-41.7188382366,-41.7188382366,-10.8,-10.8
2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,-88.4915029381,-105.606340473,-15.4,-19.5
akg_c + ile__L_c <=> 3mop_c + glu__L_c,-5.91181405689,-5.91181405689,0,0
atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
h2o_c + imp_c <=> fprica_c,18.3315682486,18.3315682486,-2.8,-2.8
h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,23.4037101902,23.4037101902,2.7,2.7
h2o_c + ins_c --> hxan_c + rib__D_c,-3.91622362613,-21.0310611609,-1,-5.1
atp_c + ins_c --> adp_c + h_c + imp_c,-22.9045605614,-22.9045605614,-3.8,-3.8
ipdp_c <=> dmpp_c,-4.90255459942,-4.90255459942,0.8,0.8
h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,-62.7964099553,-62.7964099553,-17.3,-17.3
3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,21.9941748799,21.9941748799,6.4,6.4
3c2hmp_c <=> 2ippm_c + h2o_c,-3.17667805102,-3.17667805102,0.2,0.2
2ippm_c + h2o_c <=> 3c3hmp_c,-3.22015741246,-3.22015741246,-0.2,-0.2
3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,-24.051204417,-24.051204417,-7.3,-7.3
atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
atp_c + h2o_c + kdo2lipid4_c --> adp_c + h_c + kdo2lipid4_p + pi_c,-28.7657317899,-45.8805693246,-6.6,-24.6
23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,25.3651716935,25.3651716935,4.2,4.2
2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,-25.3653260273,-25.3653260273,-4.2,-4.2
aacoa_c + coa_c --> 2.0 accoa_c,-26.134494531,-26.134494531,-7.1,-7.1
3ohcoa_c + coa_c --> accoa_c + btcoa_c,-35.469827414,-35.469827414,-7.1,-7.1
3oocoa_c + coa_c --> accoa_c + hxcoa_c,-32.9235919075,-32.9235919075,-7.1,-7.1
3odcoa_c + coa_c --> accoa_c + occoa_c,-32.8857563016,-32.8857563016,-7.1,-7.1
3oddcoa_c + coa_c --> accoa_c + dcacoa_c,-32.8857563016,-32.8857563016,-7.1,-7.1
3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,-32.8857563016,-32.8857563016,-7.1,-7.1
3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,-32.8857563016,-32.8857563016,-7.1,-7.1
h2o_c + kdo8p_c --> kdo_c + pi_c,-14.296772646,-31.4116101807,-0.1,-4.2
ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,-64.4837934495,-64.4837934495,-15.3,-15.3
3dhgulnp_c + h_c --> co2_c + xu5p__L_c,-15.0493696091,-32.1642071439,-3.3,-7.4
atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-14.2
h2o_c + lcts_c --> gal_c + glc__D_c,-10.8868257782,-28.001663313,-3.3,-7.4
h2o_p + lcts_p --> gal_p + glc__D_p,-10.8868257782,-28.001663313,-3.3,-7.4
h_c + mthgxl_c + nadh_c --> lald__D_c + nad_c,-19.2703616556,-19.2703616556,-6.4,-6.4
h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,-44.4546475066,-44.4546475066,-9.4,-9.4
h_c + lald__D_c + nadh_c <=> 12ppd__R_c + nad_c,-24.421887051,-24.421887051,-5.4,-5.4
h_c + lald__L_c + nadh_c <=> 12ppd__S_c + nad_c,-31.6888539963,-31.6888539963,-5.4,-5.4
lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,25.7155954094,25.7155954094,6.4,6.4
4mop_c + glu__L_c --> akg_c + leu__L_c,2.39739610478,2.39739610478,0,0
atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + lipa_c --> adp_c + h_c + lipa_p + pi_c,-28.7657317899,-45.8805693246,-6.6,-24.6
nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,26.3855902484,26.3855902484,5.8,5.8
h_c + lys__L_c --> 15dap_c + co2_c,-22.9166721862,-40.0315097209,-3.3,-7.4
atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-14.2
lyx__L_c --> xylu__L_c,12.7517312971,12.7517312971,-0.8,-0.8
mnl1p_c + nad_c <=> f6p_c + h_c + nadh_c,12.6406047216,12.6406047216,2.2,2.2
mal__D_c + nad_c --> co2_c + nadh_c + pyr_c,22.2658958264,5.15105829171,1.3,-2.8
accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,-31.4136336365,-31.4136336365,-8.7,-8.7
accoa_c + malt_c <=> acmalt_c + coa_c,-2.68227053562,-2.68227053562,-3.7,-3.7
atp_c + h2o_c + malthx_p --> adp_c + h_c + malthx_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + maltpt_p --> adp_c + h_c + maltpt_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + malttr_p --> adp_c + h_c + malttr_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + maltttr_p --> adp_c + h_c + maltttr_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + malt_p --> adp_c + h_c + malt_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
malt_p + pep_c --> malt6p_c + pyr_c,-42.7877144347,-42.7877144347,-9.1,-9.1
gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,2.76645312279,2.76645312279,1.9,1.9
man6p_c <=> f6p_c,-0.658192321493,-0.658192321493,-0.8,-0.8
mana_c + nad_c <=> fruur_c + h_c + nadh_c,15.3670929818,15.3670929818,2.2,2.2
manglyc_p + pep_c --> man6pglyc_c + pyr_c,-42.3891694107,-42.3891694107,-9.1,-9.1
h2o_c + man6pglyc_c --> glyc__R_c + man6p_c,-12.8272991358,-29.9421366705,-3.3,-7.4
man_p + pep_c --> man6p_c + pyr_c,-46.9201825545,-46.9201825545,-9.1,-9.1
2mcit_c --> 2mcacn_c + h2o_c,-0.773988071687,-0.773988071687,1.1,1.1
micit_c <=> pyr_c + succ_c,6.90149212258,-10.2133454121,4.8,0.7
h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,-36.5503023994,-36.5503023994,-10.4,-10.4
mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,31.648956144,31.648956144,6.4,6.4
mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,13.013419377,-4.10141815776,1.3,-2.8
mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,16.4334549778,-0.681382556959,1.6,-2.5
2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,-6.21526739953,-6.21526739953,0.2,0.2
atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,-10.1318010156,-10.1318010156,-6.6,-6.6
atp_c + h2o_c + metsox_S__L_p --> adp_c + h_c + metsox_S__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + met__L_p --> adp_c + h_c + met__L_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-10.7
atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-17.6
dhap_c --> mthgxl_c + pi_c,-56.7628555884,-73.8776931231,-11.4,-15.5
h2o_c + mi1p__D_c --> inost_c + pi_c,-20.9952242479,-38.1100617826,-2.8,-6.9
h2o_c + malttr_c --> glc__D_c + malt_c,-12.911057793,-30.0258953277,-3.3,-7.4
h2o_c + maltttr_c --> glc__D_c + malttr_c,-13.3876135176,-30.5024510523,-3.3,-7.4
h2o_c + maltpt_c --> glc__D_c + maltttr_c,-13.3876184907,-30.5024560254,-3.3,-7.4
h2o_c + malthx_c --> glc__D_c + maltpt_c,-13.3876179277,-30.5024554624,-3.3,-7.4
h2o_c + malthp_c --> glc__D_c + malthx_c,-13.3876173381,-30.5024548728,-3.3,-7.4
maltpt_c + pi_c <=> g1p_c + maltttr_c,3.45718213703,3.45718213703,-0.5,-0.5
malthx_c + pi_c <=> g1p_c + maltpt_c,3.45718270001,3.45718270001,-0.5,-0.5
malthp_c + pi_c <=> g1p_c + malthx_c,3.4571832896,3.4571832896,-0.5,-0.5
h_c + mmcoa__S_c --> co2_c + ppcoa_c,-24.7293728358,-41.8442103705,-3.3,-7.4
mmcoa__R_c <=> mmcoa__S_c,0.000732631037863,0.000732631037863,0,0
succoa_c --> mmcoa__R_c,7.57212835959,7.57212835959,-1.8,-1.8
h2o_c + man6p_c --> man_c + pi_c,-9.89429310097,-27.0091306357,-2.8,-6.9
mnl_p + pep_c --> mnl1p_c + pyr_c,-45.6809289295,-45.6809289295,-9.1,-9.1
mana_c --> 2ddglcn_c + h2o_c,-37.4292523152,-37.4292523152,-10.7,-10.7
atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,-28.7657317899,-45.8805693246,0.1,2.9
3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,5.34844954961,5.34844954961,-1.4,-1.4
atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-7.2
5mta_c + h2o_c --> 5mtr_c + ade_c,-11.6944730535,-28.8093105882,-0.8,-4.9
h2o_c + methf_c <=> 10fthf_c + h_c,-4.58127706189,-4.58127706189,-0.2,-0.2
mlthf_c + nadp_c <=> methf_c + nadph_c,13.1059405784,13.1059405784,2.3,2.3
2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,-39.2752082513,-39.2752082513,-3.8,-3.8
5mdr1p_c <=> 5mdru1p_c,-7.15941484621,-7.15941484621,0.5,0.5
5mtr_c + atp_c --> 5mdr1p_c + adp_c + h_c,-5.39361577331,-5.39361577331,-3.8,-3.8
acg5sa_c + h2o_c --> ac_c + glu5sa_c,-8.33825525296,-25.4530927877,-1.9,-6
h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,-34.7273609151,-51.8421984498,-8.4,-12.5
atp_c + nad_c --> adp_c + h_c + nadp_c,-11.4153644521,-11.4153644521,-3.8,-3.8
h2o_c + nad_c --> adprib_c + h_c + ncam_c,-33.5892129309,-50.7040504657,-4.3,-8.4
h2o_c + nadp_c --> nad_c + pi_c,-17.3503673378,-34.4652048725,-2.8,-6.9
nad_c + nadph_c --> nadh_c + nadp_c,-3.4200356008,-3.4200356008,-0.3,-0.3
atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,-35.8094257302,-52.9242632649,-6.4,-10.5
atp_c + gdp_c <=> adp_c + gtp_c,-2.50754148977,-2.50754148977,0.3,0.3
atp_c + udp_c <=> adp_c + utp_c,-1.41863668362,-1.41863668362,0,0
atp_c + cdp_c <=> adp_c + ctp_c,-0.470142373261,-0.470142373261,0.3,0.3
atp_c + dtdp_c <=> adp_c + dttp_c,3.74392818383,3.74392818383,0,0
atp_c + dgdp_c <=> adp_c + dgtp_c,2.72033939966,2.72033939966,0.3,0.3
atp_c + dudp_c <=> adp_c + dutp_c,2.63647161116,2.63647161116,0,0
atp_c + dcdp_c <=> adp_c + dctp_c,4.30647791844,4.30647791844,0,0
atp_c + dadp_c <=> adp_c + datp_c,3.12611698414,3.12611698414,0,0
h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,-291.867811808,-274.752974273,-25.1,-21
atp_c + h2o_c + ni2_c --> adp_c + h_c + ni2_p + pi_c,-28.7657317899,-45.8805693246,-6.6,-3.7
atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c,-28.7657317899,-45.8805693246,-6.6,-17.6
atp_c + h_c + nmn_c --> nad_c + ppi_c,-0.136360031928,-0.136360031928,0.4,0.4
h2o_c + nmn_c --> h_c + ncam_c + r5p_c,-21.6107657723,-38.725603307,-4.3,-8.4
h2o_c + nmn_p --> h_c + ncam_c + r5p_c,-21.6107657723,-38.725603307,-4.3,-8.4
atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,-23.2160065924,-23.2160065924,0.4,0.4
dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,-21.6953459998,-21.6953459998,-3.4,-3.4
